year,quarter,thermal_gwh,hydro_gwh,total_gwh,thermal_pct,hydro_pct
2024,Q1,6582,2306,8888,74,26
2024,Q2,6409,2368,8777,73,27
2024,Q3,6370,3081,9451,67,33
2024,Q4,6261,3029,9290,67,33
2023,Q1,6979,2370,9350,75,25
2023,Q2,7068,1798,8867,80,20
2023,Q3,6456,2208,8664,74,26
2023,Q4,7087,2702,9789,72,28
2022,Q1,6497,2350,8848,73,27
2022,Q2,6324,1442,7766,81,19
2022,Q3,6027,2512,8850,72,28
2022,Q4,6438,2926,9365,70,30
2021,Q1,7683,2227,9910,78,22
2021,Q2,7373,1628,9001,82,18
2021,Q3,6729,1962,8692,77,23
2021,Q4,6832,2648,9481,72,28
