plant,installed_capacity_mw,avg_available_capacity_mw,paf_pct
Ihovbor_2,461,432.05,93.72
Ikeja_1,110,96.93,88.12
Jebba_1,578,378.25,65.44
Dadin-Kowa_1,40,25.6,64.01
Shiroro_1,600,327.02,54.5
Okpai_1,480,258.52,53.86
Zungeru_1,700,372.12,53.16
Kainji_1,760,399.55,52.57
Odukpani_1,625,308.27,49.32
Afam_2,650,280.49,43.15
Egbin_1,1320,558.35,42.3
Geregu_2,435,179.01,41.15
Delta_1,900,350.95,38.99
Rivers_1,180,69.12,38.4
Ibom_Power_1,190,72.27,38.04
Omotosho_1,335,124.2,37.07
Geregu_1,435,159.14,36.58
Olorunsogo_1,335,121.61,36.3
Igbafo_1,45,15.98,35.51
